"","Ensembl","Symbols","Entrez"
"ENSMUSG00000049897 - Stkld1","ENSMUSG00000049897","Stkld1","279029"
"ENSMUSG00000052406 - Rexo4","ENSMUSG00000052406","Rexo4","227656"
"ENSMUSG00000014852 - Adamts13","ENSMUSG00000014852","Adamts13","279028"
"ENSMUSG00000015488 - Cacfd1","ENSMUSG00000015488","Cacfd1","381356"
"ENSMUSG00000036067 - Slc2a6","ENSMUSG00000036067","Slc2a6","227659"
"ENSMUSG00000087364 - Gm13398","ENSMUSG00000087364","Gm13398","102640749"
"ENSMUSG00000009214 - Mymk","ENSMUSG00000009214","Mymk","66139"
"ENSMUSG00000036040 - Adamtsl2","ENSMUSG00000036040","Adamtsl2","77794"
"ENSMUSG00000009216 - Fam163b","ENSMUSG00000009216","Fam163b","109349"
"ENSMUSG00000000889 - Dbh","ENSMUSG00000000889","Dbh","13166"
"ENSMUSG00000009614 - Sardh","ENSMUSG00000009614","Sardh","192166"
"ENSMUSG00000009621 - Vav2","ENSMUSG00000009621","Vav2","22325"
"ENSMUSG00000109946 - Brd3os","ENSMUSG00000109946","Brd3os","100504116"
"ENSMUSG00000026918 - Brd3","ENSMUSG00000026918","Brd3","67382"
"ENSMUSG00000026917 - Wdr5","ENSMUSG00000026917","Wdr5","140858"
"ENSMUSG00000085929 - Gm13421","ENSMUSG00000085929","Gm13421","105244102"
"ENSMUSG00000015846 - Rxra","ENSMUSG00000015846","Rxra","20181"
"ENSMUSG00000026837 - Col5a1","ENSMUSG00000026837","Col5a1","12831"
"ENSMUSG00000026835 - Fcnb","ENSMUSG00000026835","Fcnb","14134"
"ENSMUSG00000026833 - Olfm1","ENSMUSG00000026833","Olfm1","56177"
"ENSMUSG00000035829 - Ppp1r26","ENSMUSG00000035829","Ppp1r26","241289"
"ENSMUSG00000026831 - Pierce1","ENSMUSG00000026831","Pierce1","69327"
"ENSMUSG00000035772 - Mrps2","ENSMUSG00000035772","Mrps2","118451"
"ENSMUSG00000082895 - Rpsa-ps9","ENSMUSG00000082895","Rpsa-ps9","665412"
"ENSMUSG00000026829 - Gbgt1","ENSMUSG00000026829","Gbgt1","227671"
"ENSMUSG00000026821 - Ralgds","ENSMUSG00000026821","Ralgds","19730"
"ENSMUSG00000026818 - Cel","ENSMUSG00000026818","Cel","12613"
"ENSMUSG00000026816 - Gtf3c5","ENSMUSG00000026816","Gtf3c5","70239"
"ENSMUSG00000026815 - Gfi1b","ENSMUSG00000026815","Gfi1b","14582"
"ENSMUSG00000026812 - Tsc1","ENSMUSG00000026812","Tsc1","64930"
"ENSMUSG00000026809 - Spaca9","ENSMUSG00000026809","Spaca9","69987"
"ENSMUSG00000026807 - Ak8","ENSMUSG00000026807","Ak8","68870"
"ENSMUSG00000035666 - Gtf3c4","ENSMUSG00000035666","Gtf3c4","269252"
"ENSMUSG00000026806 - Ddx31","ENSMUSG00000026806","Ddx31","227674"
"ENSMUSG00000026805 - Barhl1","ENSMUSG00000026805","Barhl1","54422"
"ENSMUSG00000079502 - Cfap77","ENSMUSG00000079502","Cfap77","329375"
"ENSMUSG00000083773 - Gm13394","ENSMUSG00000083773","Gm13394","100033452"
"ENSMUSG00000026803 - Ttf1","ENSMUSG00000026803","Ttf1","22130"
"ENSMUSG00000043535 - Setx","ENSMUSG00000043535","Setx","269254"
"ENSMUSG00000035513 - Ntng2","ENSMUSG00000035513","Ntng2","171171"
"ENSMUSG00000079499 - 6530402F18Rik","ENSMUSG00000079499","6530402F18Rik","76220"
"ENSMUSG00000026799 - Med27","ENSMUSG00000026799","Med27","68975"
"ENSMUSG00000039844 - Rapgef1","ENSMUSG00000039844","Rapgef1","107746"
"ENSMUSG00000079497 - Gm13420","ENSMUSG00000079497","Gm13420","433415"
"ENSMUSG00000039826 - Trub2","ENSMUSG00000039826","Trub2","227682"
"ENSMUSG00000026798 - Coq4","ENSMUSG00000026798","Coq4","227683"
"ENSMUSG00000059316 - Slc27a4","ENSMUSG00000059316","Slc27a4","26569"
"ENSMUSG00000069020 - Urm1","ENSMUSG00000069020","Urm1","68205"
"ENSMUSG00000039787 - Cercam","ENSMUSG00000039787","Cercam","99151"
"ENSMUSG00000026790 - Odf2","ENSMUSG00000026790","Odf2","18286"
"ENSMUSG00000019715 - Gle1","ENSMUSG00000019715","Gle1","74412"
"ENSMUSG00000057738 - Sptan1","ENSMUSG00000057738","Sptan1","20740"
"ENSMUSG00000039715 - Dync2i2","ENSMUSG00000039715","Dync2i2","71820"
"ENSMUSG00000054766 - Set","ENSMUSG00000054766","Set","56086"
"ENSMUSG00000026785 - Pkn3","ENSMUSG00000026785","Pkn3","263803"
"ENSMUSG00000015335 - Zdhhc12","ENSMUSG00000015335","Zdhhc12","66220"
"ENSMUSG00000039686 - Zer1","ENSMUSG00000039686","Zer1","227693"
"ENSMUSG00000039678 - Tbc1d13","ENSMUSG00000039678","Tbc1d13","70296"
"ENSMUSG00000015337 - Endog","ENSMUSG00000015337","Endog","13804"
"ENSMUSG00000039660 - Spout1","ENSMUSG00000039660","Spout1","227695"
"ENSMUSG00000039648 - Kyat1","ENSMUSG00000039648","Kyat1","70266"
"ENSMUSG00000007476 - Lrrc8a","ENSMUSG00000007476","Lrrc8a","241296"
"ENSMUSG00000079484 - Phyhd1","ENSMUSG00000079484","Phyhd1","227696"
"ENSMUSG00000075419 - Dolk","ENSMUSG00000075419","Dolk","227697"
"ENSMUSG00000052533 - Nup188","ENSMUSG00000052533","Nup188","227699"
"ENSMUSG00000026860 - Sh3glb2","ENSMUSG00000026860","Sh3glb2","227700"
"ENSMUSG00000026858 - Miga2","ENSMUSG00000026858","Miga2","108958"
"ENSMUSG00000026856 - Dolpp1","ENSMUSG00000026856","Dolpp1","57170"
"ENSMUSG00000026853 - Crat","ENSMUSG00000026853","Crat","12908"
"ENSMUSG00000039515 - Ptpa","ENSMUSG00000039515","Ptpa","110854"
"ENSMUSG00000089762 - Ier5l","ENSMUSG00000089762","Ier5l","72500"
"ENSMUSG00000047363 - Cstad","ENSMUSG00000047363","Cstad","78617"
"ENSMUSG00000044320 - 1700001O22Rik","ENSMUSG00000044320","1700001O22Rik","73598"
"ENSMUSG00000026857 - Ntmt1","ENSMUSG00000026857","Ntmt1","66617"
"ENSMUSG00000039483 - Asb6","ENSMUSG00000039483","Asb6","72323"
"ENSMUSG00000039476 - Prrx2","ENSMUSG00000039476","Prrx2","20204"
"ENSMUSG00000050737 - Ptges","ENSMUSG00000050737","Ptges","64292"
"ENSMUSG00000026848 - Tor1b","ENSMUSG00000026848","Tor1b","30934"
"ENSMUSG00000026849 - Tor1a","ENSMUSG00000026849","Tor1a","30931"
"ENSMUSG00000026851 - BC005624","ENSMUSG00000026851","BC005624","227707"
"ENSMUSG00000026854 - Usp20","ENSMUSG00000026854","Usp20","74270"
"ENSMUSG00000075415 - Fnbp1","ENSMUSG00000075415","Fnbp1","14269"
"ENSMUSG00000000194 - Gpr107","ENSMUSG00000000194","Gpr107","277463"
"ENSMUSG00000088891 - Gm22516","ENSMUSG00000088891","Gm22516","115489634"
"ENSMUSG00000062661 - Ncs1","ENSMUSG00000062661","Ncs1","14299"
"ENSMUSG00000055632 - Hmcn2","ENSMUSG00000055632","Hmcn2","665700"
"ENSMUSG00000076441 - Ass1","ENSMUSG00000076441","Ass1","11898"
"ENSMUSG00000026843 - Fubp3","ENSMUSG00000026843","Fubp3","320267"
"ENSMUSG00000039356 - Exosc2","ENSMUSG00000039356","Exosc2","227715"
"ENSMUSG00000087549 - Gm13427","ENSMUSG00000087549","Gm13427","108168742"
"ENSMUSG00000026842 - Abl1","ENSMUSG00000026842","Abl1","11350"
"ENSMUSG00000043102 - Qrfp","ENSMUSG00000043102","Qrfp","227717"
"ENSMUSG00000026841 - Fibcd1","ENSMUSG00000026841","Fibcd1","98970"
"ENSMUSG00000026840 - Lamc3","ENSMUSG00000026840","Lamc3","23928"
"ENSMUSG00000001864 - Aif1l","ENSMUSG00000001864","Aif1l","108897"
"ENSMUSG00000001855 - Nup214","ENSMUSG00000001855","Nup214","227720"
"ENSMUSG00000050592 - Fam78a","ENSMUSG00000050592","Fam78a","241303"
"ENSMUSG00000051373 - Plpp7","ENSMUSG00000051373","Plpp7","227721"
"ENSMUSG00000039262 - Prrc2b","ENSMUSG00000039262","Prrc2b","227723"
"ENSMUSG00000039254 - Pomt1","ENSMUSG00000039254","Pomt1","99011"
"ENSMUSG00000002550 - Uck1","ENSMUSG00000002550","Uck1","22245"
"ENSMUSG00000066068 - Gm13611","ENSMUSG00000066068","Gm13611","100504319"
"ENSMUSG00000044627 - Swi5","ENSMUSG00000044627","Swi5","72931"
"ENSMUSG00000002546 - Golga2","ENSMUSG00000002546","Golga2","99412"
