"","Ensembl","Symbols","Entrez"
"ENSMUSG00000051951 - Xkr4","ENSMUSG00000051951","Xkr4","497097"
"ENSMUSG00000025900 - Rp1","ENSMUSG00000025900","Rp1","19888"
"ENSMUSG00000025902 - Sox17","ENSMUSG00000025902","Sox17","20671"
"ENSMUSG00000102269 - Gm7357","ENSMUSG00000102269","Gm7357","664830"
"ENSMUSG00000103922 - Gm6123","ENSMUSG00000103922","Gm6123","620009"
"ENSMUSG00000033845 - Mrpl15","ENSMUSG00000033845","Mrpl15","27395"
"ENSMUSG00000025903 - Lypla1","ENSMUSG00000025903","Lypla1","18777"
"ENSMUSG00000033813 - Tcea1","ENSMUSG00000033813","Tcea1","21399"
"ENSMUSG00000002459 - Rgs20","ENSMUSG00000002459","Rgs20","58175"
"ENSMUSG00000033793 - Atp6v1h","ENSMUSG00000033793","Atp6v1h","108664"
"ENSMUSG00000033774 - Npbwr1","ENSMUSG00000033774","Npbwr1","226304"
"ENSMUSG00000025907 - Rb1cc1","ENSMUSG00000025907","Rb1cc1","12421"
"ENSMUSG00000087247 - Alkal1","ENSMUSG00000087247","Alkal1","620393"
"ENSMUSG00000033740 - St18","ENSMUSG00000033740","St18","240690"
"ENSMUSG00000051285 - Pcmtd1","ENSMUSG00000051285","Pcmtd1","319263"
"ENSMUSG00000025909 - Sntg1","ENSMUSG00000025909","Sntg1","71096"
"ENSMUSG00000061024 - Rrs1","ENSMUSG00000061024","Rrs1","59014"
"ENSMUSG00000025911 - Adhfe1","ENSMUSG00000025911","Adhfe1","76187"
"ENSMUSG00000081441 - Gm6161","ENSMUSG00000081441","Gm6161","620542"
"ENSMUSG00000025912 - Mybl1","ENSMUSG00000025912","Mybl1","17864"
"ENSMUSG00000045210 - Vcpip1","ENSMUSG00000045210","Vcpip1","70675"
"ENSMUSG00000025915 - Sgk3","ENSMUSG00000025915","Sgk3","170755"
"ENSMUSG00000046334 - Gm6195","ENSMUSG00000046334","Gm6195","108167613"
"ENSMUSG00000046101 - Mcmdc2","ENSMUSG00000046101","Mcmdc2","240697"
"ENSMUSG00000098234 - Snhg6","ENSMUSG00000098234","Snhg6","73824"
"ENSMUSG00000093178 - Snord87","ENSMUSG00000093178","Snord87","266793"
"ENSMUSG00000099032 - Tcf24","ENSMUSG00000099032","Tcf24","100039596"
"ENSMUSG00000025916 - Ppp1r42","ENSMUSG00000025916","Ppp1r42","69312"
"ENSMUSG00000025917 - Cops5","ENSMUSG00000025917","Cops5","26754"
"ENSMUSG00000056763 - Cspp1","ENSMUSG00000056763","Cspp1","211660"
"ENSMUSG00000067851 - Arfgef1","ENSMUSG00000067851","Arfgef1","211673"
"ENSMUSG00000042501 - Cpa6","ENSMUSG00000042501","Cpa6","329093"
"ENSMUSG00000081417 - Gm15603","ENSMUSG00000081417","Gm15603","102636010"
"ENSMUSG00000048960 - Prex2","ENSMUSG00000048960","Prex2","109294"
"ENSMUSG00000057715 - A830018L16Rik","ENSMUSG00000057715","A830018L16Rik","320492"
"ENSMUSG00000016918 - Sulf1","ENSMUSG00000016918","Sulf1","240725"
"ENSMUSG00000025938 - Slco5a1","ENSMUSG00000025938","Slco5a1","240726"
"ENSMUSG00000042414 - Prdm14","ENSMUSG00000042414","Prdm14","383491"
"ENSMUSG00000005886 - Ncoa2","ENSMUSG00000005886","Ncoa2","17978"
"ENSMUSG00000025935 - Tram1","ENSMUSG00000025935","Tram1","72265"
"ENSMUSG00000025937 - Lactb2","ENSMUSG00000025937","Lactb2","212442"
"ENSMUSG00000067813 - Xkr9","ENSMUSG00000067813","Xkr9","381246"
"ENSMUSG00000097711 - Gm5523","ENSMUSG00000097711","Gm5523","433273"
"ENSMUSG00000025932 - Eya1","ENSMUSG00000025932","Eya1","14048"
"ENSMUSG00000025930 - Msc","ENSMUSG00000025930","Msc","17681"
"ENSMUSG00000082193 - Rpl5-ps1","ENSMUSG00000082193","Rpl5-ps1","665407"
"ENSMUSG00000032769 - Trpa1","ENSMUSG00000032769","Trpa1","277328"
"ENSMUSG00000092083 - Kcnb2","ENSMUSG00000092083","Kcnb2","98741"
"ENSMUSG00000025925 - Terf1","ENSMUSG00000025925","Terf1","21749"
"ENSMUSG00000032719 - Sbspon","ENSMUSG00000032719","Sbspon","226866"
"ENSMUSG00000067795 - 4930444P10Rik","ENSMUSG00000067795","4930444P10Rik","75799"
"ENSMUSG00000043716 - Rpl7","ENSMUSG00000043716","Rpl7","19989"
"ENSMUSG00000025921 - Rdh10","ENSMUSG00000025921","Rdh10","98711"
"ENSMUSG00000025920 - Stau2","ENSMUSG00000025920","Stau2","29819"
"ENSMUSG00000089982 - Gm7568","ENSMUSG00000089982","Gm7568","102634042"
"ENSMUSG00000025939 - Ube2w","ENSMUSG00000025939","Ube2w","66799"
"ENSMUSG00000079658 - Eloc","ENSMUSG00000079658","Eloc","67923"
"ENSMUSG00000097744 - D030040B21Rik","ENSMUSG00000097744","D030040B21Rik","329101"
"ENSMUSG00000025940 - Tmem70","ENSMUSG00000025940","Tmem70","70397"
"ENSMUSG00000025779 - Ly96","ENSMUSG00000025779","Ly96","17087"
"ENSMUSG00000091020 - Gm5828","ENSMUSG00000091020","Gm5828","545306"
"ENSMUSG00000042686 - Jph1","ENSMUSG00000042686","Jph1","57339"
"ENSMUSG00000025777 - Gdap1","ENSMUSG00000025777","Gdap1","14545"
"ENSMUSG00000067780 - Pi15","ENSMUSG00000067780","Pi15","94227"
"ENSMUSG00000025776 - Crispld1","ENSMUSG00000025776","Crispld1","83691"
"ENSMUSG00000025927 - Tfap2b","ENSMUSG00000025927","Tfap2b","21419"
"ENSMUSG00000100204 - Gm4849","ENSMUSG00000100204","Gm4849","226901"
"ENSMUSG00000043760 - Pkhd1","ENSMUSG00000043760","Pkhd1","241035"
"ENSMUSG00000025929 - Il17a","ENSMUSG00000025929","Il17a","16171"
"ENSMUSG00000041872 - Il17f","ENSMUSG00000041872","Il17f","257630"
"ENSMUSG00000041859 - Mcm3","ENSMUSG00000041859","Mcm3","17215"
"ENSMUSG00000097934 - 6720483E21Rik","ENSMUSG00000097934","6720483E21Rik","77741"
"ENSMUSG00000025931 - Paqr8","ENSMUSG00000025931","Paqr8","74229"
"ENSMUSG00000041809 - Efhc1","ENSMUSG00000041809","Efhc1","71877"
"ENSMUSG00000041779 - Tram2","ENSMUSG00000041779","Tram2","170829"
"ENSMUSG00000025933 - Tmem14a","ENSMUSG00000025933","Tmem14a","75712"
"ENSMUSG00000025934 - Gsta3","ENSMUSG00000025934","Gsta3","14859"
"ENSMUSG00000067750 - Khdc1a","ENSMUSG00000067750","Khdc1a","368204"
"ENSMUSG00000041722 - Khdc1c","ENSMUSG00000041722","Khdc1c","433278"
"ENSMUSG00000028033 - Kcnq5","ENSMUSG00000028033","Kcnq5","226922"
"ENSMUSG00000082935 - Gm7658","ENSMUSG00000082935","Gm7658","665489"
"ENSMUSG00000041670 - Rims1","ENSMUSG00000041670","Rims1","116837"
"ENSMUSG00000026158 - Ogfrl1","ENSMUSG00000026158","Ogfrl1","70155"
"ENSMUSG00000026156 - B3gat2","ENSMUSG00000026156","B3gat2","280645"
"ENSMUSG00000026155 - Smap1","ENSMUSG00000026155","Smap1","98366"
"ENSMUSG00000026154 - Sdhaf4","ENSMUSG00000026154","Sdhaf4","68002"
"ENSMUSG00000026153 - Fam135a","ENSMUSG00000026153","Fam135a","68187"
"ENSMUSG00000026147 - Col9a1","ENSMUSG00000026147","Col9a1","12839"
"ENSMUSG00000099997 - Tubb4b-ps2","ENSMUSG00000099997","Tubb4b-ps2","665829"
"ENSMUSG00000067736 - Gm10222","ENSMUSG00000067736","Gm10222","100142658"
"ENSMUSG00000100862 - Atp6-ps","ENSMUSG00000100862","Atp6-ps","100503946"
"ENSMUSG00000073725 - Lmbrd1","ENSMUSG00000073725","Lmbrd1","68421"
"ENSMUSG00000033569 - Adgrb3","ENSMUSG00000033569","Adgrb3","210933"
"ENSMUSG00000099492 - Gm5525","ENSMUSG00000099492","Gm5525","433283"
"ENSMUSG00000048874 - Phf3","ENSMUSG00000048874","Phf3","213109"
"ENSMUSG00000117310 - Ptp4a1","ENSMUSG00000117310","Ptp4a1","19243"
"ENSMUSG00000026064 - Ptp4a1","ENSMUSG00000026064","Ptp4a1","19243"
"ENSMUSG00000086726 - Gm9458","ENSMUSG00000086726","Gm9458","669402"
"ENSMUSG00000086727 - 4931428L18Rik","ENSMUSG00000086727","4931428L18Rik","70988"
"ENSMUSG00000070960 - Gm19680","ENSMUSG00000070960","Gm19680","100503415"
"ENSMUSG00000026058 - Khdrbs2","ENSMUSG00000026058","Khdrbs2","170771"
"ENSMUSG00000100481 - Gm7114","ENSMUSG00000100481","Gm7114","633498"
"ENSMUSG00000026134 - Prim2","ENSMUSG00000026134","Prim2","19076"
"ENSMUSG00000103746 - 1700001G17Rik","ENSMUSG00000103746","1700001G17Rik","67503"
"ENSMUSG00000004768 - Rab23","ENSMUSG00000004768","Rab23","19335"
"ENSMUSG00000042215 - Bag2","ENSMUSG00000042215","Bag2","213539"
"ENSMUSG00000042197 - Zfp451","ENSMUSG00000042197","Zfp451","98403"
"ENSMUSG00000081402 - Gm15455","ENSMUSG00000081402","Gm15455","433287"
"ENSMUSG00000042182 - Bend6","ENSMUSG00000042182","Bend6","320705"
"ENSMUSG00000026131 - Dst","ENSMUSG00000026131","Dst","13518"
"ENSMUSG00000096992 - Gm26788","ENSMUSG00000096992","Gm26788","108167617"
"ENSMUSG00000042111 - Ccdc115","ENSMUSG00000042111","Ccdc115","69668"
"ENSMUSG00000026127 - Imp4","ENSMUSG00000026127","Imp4","27993"
"ENSMUSG00000026126 - Ptpn18","ENSMUSG00000026126","Ptpn18","19253"
"ENSMUSG00000037509 - Arhgef4","ENSMUSG00000037509","Arhgef4","226970"
"ENSMUSG00000037503 - Fam168b","ENSMUSG00000037503","Fam168b","214469"
"ENSMUSG00000026123 - Plekhb2","ENSMUSG00000026123","Plekhb2","226971"
"ENSMUSG00000045216 - Hs6st1","ENSMUSG00000045216","Hs6st1","50785"
"ENSMUSG00000037470 - Uggt1","ENSMUSG00000037470","Uggt1","320011"
"ENSMUSG00000047180 - Neurl3","ENSMUSG00000047180","Neurl3","214854"
"ENSMUSG00000037447 - Arid5a","ENSMUSG00000037447","Arid5a","214855"
"ENSMUSG00000010453 - Kansl3","ENSMUSG00000010453","Kansl3","226976"
"ENSMUSG00000037432 - Fer1l5","ENSMUSG00000037432","Fer1l5","100534273"
"ENSMUSG00000001143 - Lman2l","ENSMUSG00000001143","Lman2l","214895"
"ENSMUSG00000037408 - Cnnm4","ENSMUSG00000037408","Cnnm4","94220"
"ENSMUSG00000001138 - Cnnm3","ENSMUSG00000001138","Cnnm3","94218"
"ENSMUSG00000067653 - Ankrd23","ENSMUSG00000067653","Ankrd23","78321"
"ENSMUSG00000079610 - Ankrd39","ENSMUSG00000079610","Ankrd39","109346"
"ENSMUSG00000026121 - Sema4c","ENSMUSG00000026121","Sema4c","20353"
"ENSMUSG00000046337 - Fam178b","ENSMUSG00000046337","Fam178b","381337"
"ENSMUSG00000061518 - Cox5b","ENSMUSG00000061518","Cox5b","12859"
"ENSMUSG00000037351 - Actr1b","ENSMUSG00000037351","Actr1b","226977"
"ENSMUSG00000102416 - 4933424G06Rik","ENSMUSG00000102416","4933424G06Rik","71166"
"ENSMUSG00000026117 - Zap70","ENSMUSG00000026117","Zap70","22637"
"ENSMUSG00000026116 - Tmem131","ENSMUSG00000026116","Tmem131","56030"
"ENSMUSG00000050122 - Vwa3b","ENSMUSG00000050122","Vwa3b","70853"
"ENSMUSG00000026114 - Cnga3","ENSMUSG00000026114","Cnga3","12790"
"ENSMUSG00000026113 - Inpp4a","ENSMUSG00000026113","Inpp4a","269180"
"ENSMUSG00000026112 - Coa5","ENSMUSG00000026112","Coa5","76178"
"ENSMUSG00000026111 - Unc50","ENSMUSG00000026111","Unc50","67387"
"ENSMUSG00000026110 - Mgat4a","ENSMUSG00000026110","Mgat4a","269181"
"ENSMUSG00000103948 - 4930594C11Rik","ENSMUSG00000103948","4930594C11Rik","77633"
"ENSMUSG00000026090 - Cracdl","ENSMUSG00000026090","Cracdl","72097"
"ENSMUSG00000060771 - Tsga10","ENSMUSG00000060771","Tsga10","211484"
"ENSMUSG00000037216 - Lipt1","ENSMUSG00000037216","Lipt1","623661"
"ENSMUSG00000026088 - Mitd1","ENSMUSG00000026088","Mitd1","69028"
"ENSMUSG00000026087 - Mrpl30","ENSMUSG00000026087","Mrpl30","107734"
"ENSMUSG00000026085 - Lyg1","ENSMUSG00000026085","Lyg1","69541"
"ENSMUSG00000058407 - Txndc9","ENSMUSG00000058407","Txndc9","98258"
"ENSMUSG00000026083 - Eif5b","ENSMUSG00000026083","Eif5b","226982"
"ENSMUSG00000026082 - Rev1","ENSMUSG00000026082","Rev1","56210"
"ENSMUSG00000037138 - Aff3","ENSMUSG00000037138","Aff3","16764"
"ENSMUSG00000048814 - Lonrf2","ENSMUSG00000048814","Lonrf2","381338"
"ENSMUSG00000026080 - Chst10","ENSMUSG00000026080","Chst10","98388"
"ENSMUSG00000026078 - Pdcl3","ENSMUSG00000026078","Pdcl3","68833"
"ENSMUSG00000026077 - Npas2","ENSMUSG00000026077","Npas2","18143"
"ENSMUSG00000092563 - Gm3617","ENSMUSG00000092563","Gm3617","100041999"
"ENSMUSG00000073702 - Rpl31","ENSMUSG00000073702","Rpl31","114641"
"ENSMUSG00000003134 - Tbc1d8","ENSMUSG00000003134","Tbc1d8","54610"
"ENSMUSG00000003135 - Cnot11","ENSMUSG00000003135","Cnot11","52846"
"ENSMUSG00000077704 - Snord89","ENSMUSG00000077704","Snord89","100217461"
"ENSMUSG00000048234 - Rnf149","ENSMUSG00000048234","Rnf149","67702"
"ENSMUSG00000064936 - Gm23722","ENSMUSG00000064936","Gm23722","115485772"
"ENSMUSG00000050967 - Creg2","ENSMUSG00000050967","Creg2","263764"
"ENSMUSG00000057173 - Rfx8","ENSMUSG00000057173","Rfx8","619289"
"ENSMUSG00000026074 - Map4k4","ENSMUSG00000026074","Map4k4","26921"
"ENSMUSG00000026073 - Il1r2","ENSMUSG00000026073","Il1r2","16178"
"ENSMUSG00000097899 - Gm16894","ENSMUSG00000097899","Gm16894","100047133"
"ENSMUSG00000026072 - Il1r1","ENSMUSG00000026072","Il1r1","16177"
"ENSMUSG00000070942 - Il1rl2","ENSMUSG00000070942","Il1rl2","107527"
"ENSMUSG00000026069 - Il1rl1","ENSMUSG00000026069","Il1rl1","17082"
"ENSMUSG00000026070 - Il18r1","ENSMUSG00000026070","Il18r1","16182"
"ENSMUSG00000026068 - Il18rap","ENSMUSG00000026068","Il18rap","16174"
"ENSMUSG00000026065 - Slc9a4","ENSMUSG00000026065","Slc9a4","110895"
"ENSMUSG00000026062 - Slc9a2","ENSMUSG00000026062","Slc9a2","226999"
"ENSMUSG00000103270 - Gm37915","ENSMUSG00000103270","Gm37915","102641498"
"ENSMUSG00000041945 - Mfsd9","ENSMUSG00000041945","Mfsd9","211798"
"ENSMUSG00000079588 - Tmem182","ENSMUSG00000079588","Tmem182","381339"
"ENSMUSG00000045515 - Pou3f3","ENSMUSG00000045515","Pou3f3","18993"
"ENSMUSG00000060679 - Mrps9","ENSMUSG00000060679","Mrps9","69527"
"ENSMUSG00000041907 - Gpr45","ENSMUSG00000041907","Gpr45","93690"
"ENSMUSG00000070939 - Tgfbrap1","ENSMUSG00000070939","Tgfbrap1","73122"
"ENSMUSG00000010290 - AI597479","ENSMUSG00000010290","AI597479","98404"
"ENSMUSG00000008136 - Fhl2","ENSMUSG00000008136","Fhl2","14200"
"ENSMUSG00000066877 - Nck2","ENSMUSG00000066877","Nck2","17974"
"ENSMUSG00000026051 - Ecrg4","ENSMUSG00000026051","Ecrg4","78896"
"ENSMUSG00000057363 - Uxs1","ENSMUSG00000057363","Uxs1","67883"
"ENSMUSG00000041763 - Tpp2","ENSMUSG00000041763","Tpp2","22019"
"ENSMUSG00000047343 - Mettl21c","ENSMUSG00000047343","Mettl21c","433294"
"ENSMUSG00000091844 - Ccdc168","ENSMUSG00000091844","Ccdc168","102636082"
"ENSMUSG00000026049 - Tex30","ENSMUSG00000026049","Tex30","75623"
"ENSMUSG00000026047 - Poglut2","ENSMUSG00000026047","Poglut2","72050"
"ENSMUSG00000041684 - Bivm","ENSMUSG00000041684","Bivm","246229"
"ENSMUSG00000026048 - Ercc5","ENSMUSG00000026048","Ercc5","22592"
"ENSMUSG00000056870 - Gulp1","ENSMUSG00000056870","Gulp1","70676"
"ENSMUSG00000026043 - Col3a1","ENSMUSG00000026043","Col3a1","12825"
"ENSMUSG00000026042 - Col5a2","ENSMUSG00000026042","Col5a2","12832"
"ENSMUSG00000100843 - Gm8307","ENSMUSG00000100843","Gm8307","666819"
"ENSMUSG00000025995 - Wdr75","ENSMUSG00000025995","Wdr75","73674"
"ENSMUSG00000099381 - Gm18303","ENSMUSG00000099381","Gm18303","100416885"
"ENSMUSG00000025993 - Slc40a1","ENSMUSG00000025993","Slc40a1","53945"
"ENSMUSG00000044457 - Stk-ps2","ENSMUSG00000044457","Stk-ps2","212225"
"ENSMUSG00000041144 - Dnah7b","ENSMUSG00000041144","Dnah7b","227058"
"ENSMUSG00000101262 - Gm8326","ENSMUSG00000101262","Gm8326","666855"
"ENSMUSG00000101337 - Dnah7c","ENSMUSG00000101337","Dnah7c","100101919"
"ENSMUSG00000025986 - Slc39a10","ENSMUSG00000025986","Slc39a10","227059"
"ENSMUSG00000100033 - Gm8337","ENSMUSG00000100033","Gm8337","666869"
"ENSMUSG00000026109 - Tmeff2","ENSMUSG00000026109","Tmeff2","56363"
"ENSMUSG00000045954 - Cavin2","ENSMUSG00000045954","Cavin2","20324"
"ENSMUSG00000026107 - Nabp1","ENSMUSG00000026107","Nabp1","109019"
"ENSMUSG00000099413 - Gm17767","ENSMUSG00000099413","Gm17767","100045066"
"ENSMUSG00000018417 - Myo1b","ENSMUSG00000018417","Myo1b","17912"
"ENSMUSG00000062939 - Stat4","ENSMUSG00000062939","Stat4","20849"
"ENSMUSG00000026104 - Stat1","ENSMUSG00000026104","Stat1","20846"
"ENSMUSG00000026103 - Gls","ENSMUSG00000026103","Gls","14660"
"ENSMUSG00000002881 - Nab1","ENSMUSG00000002881","Nab1","17936"
"ENSMUSG00000097833 - Gm5976","ENSMUSG00000097833","Gm5976","546736"
"ENSMUSG00000101501 - Rps27a-ps1","ENSMUSG00000101501","Rps27a-ps1","100042094"
"ENSMUSG00000043015 - Nemp2","ENSMUSG00000043015","Nemp2","227094"
"ENSMUSG00000041439 - Mfsd6","ENSMUSG00000041439","Mfsd6","98682"
"ENSMUSG00000026102 - Inpp1","ENSMUSG00000026102","Inpp1","16329"
"ENSMUSG00000041426 - Hibch","ENSMUSG00000041426","Hibch","227095"
"ENSMUSG00000043629 - 1700019D03Rik","ENSMUSG00000043629","1700019D03Rik","67080"
"ENSMUSG00000060715 - 1700019A02Rik","ENSMUSG00000060715","1700019A02Rik","69397"
"ENSMUSG00000026098 - Pms1","ENSMUSG00000026098","Pms1","227099"
"ENSMUSG00000026097 - Ormdl1","ENSMUSG00000026097","Ormdl1","227102"
"ENSMUSG00000026096 - Osgepl1","ENSMUSG00000026096","Osgepl1","72085"
"ENSMUSG00000026095 - Asnsd1","ENSMUSG00000026095","Asnsd1","70396"
"ENSMUSG00000096141 - Dnah7a","ENSMUSG00000096141","Dnah7a","627872"
"ENSMUSG00000026094 - Stk17b","ENSMUSG00000026094","Stk17b","98267"
"ENSMUSG00000042807 - Hecw2","ENSMUSG00000042807","Hecw2","329152"
"ENSMUSG00000025983 - Ccdc150","ENSMUSG00000025983","Ccdc150","78016"
"ENSMUSG00000041303 - Gtf3c3","ENSMUSG00000041303","Gtf3c3","98488"
"ENSMUSG00000073678 - Pgap1","ENSMUSG00000073678","Pgap1","241062"
"ENSMUSG00000052331 - Ankrd44","ENSMUSG00000052331","Ankrd44","329154"
"ENSMUSG00000025982 - Sf3b1","ENSMUSG00000025982","Sf3b1","81898"
"ENSMUSG00000025981 - Coq10b","ENSMUSG00000025981","Coq10b","67876"
"ENSMUSG00000101122 - Gm17971","ENSMUSG00000101122","Gm17971","100416214"
"ENSMUSG00000025980 - Hspd1","ENSMUSG00000025980","Hspd1","15510"
"ENSMUSG00000073676 - Hspe1","ENSMUSG00000073676","Hspe1","15528"
"ENSMUSG00000089670 - Gm16581","ENSMUSG00000089670","Gm16581","100417585"
"ENSMUSG00000025979 - Mob4","ENSMUSG00000025979","Mob4","19070"
"ENSMUSG00000025978 - Rftn2","ENSMUSG00000025978","Rftn2","74013"
"ENSMUSG00000046994 - Mars2","ENSMUSG00000046994","Mars2","212679"
"ENSMUSG00000025977 - Boll","ENSMUSG00000025977","Boll","75388"
"ENSMUSG00000100215 - Gm8292","ENSMUSG00000100215","Gm8292","666793"
"ENSMUSG00000038349 - Plcl1","ENSMUSG00000038349","Plcl1","227120"
"ENSMUSG00000099950 - 9130227L01Rik","ENSMUSG00000099950","9130227L01Rik","329159"
"ENSMUSG00000038331 - Satb2","ENSMUSG00000038331","Satb2","212712"
"ENSMUSG00000087022 - 9130024F11Rik","ENSMUSG00000087022","9130024F11Rik","329160"
"ENSMUSG00000097519 - 4930558J18Rik","ENSMUSG00000097519","4930558J18Rik","75323"
"ENSMUSG00000038323 - 1700066M21Rik","ENSMUSG00000038323","1700066M21Rik","73467"
"ENSMUSG00000048495 - Tyw5","ENSMUSG00000048495","Tyw5","68736"
"ENSMUSG00000025971 - Maip1","ENSMUSG00000025971","Maip1","68115"
"ENSMUSG00000038305 - Spats2l","ENSMUSG00000038305","Spats2l","67198"
"ENSMUSG00000054770 - Kctd18","ENSMUSG00000054770","Kctd18","51960"
"ENSMUSG00000026039 - Sgo2a","ENSMUSG00000026039","Sgo2a","68549"
"ENSMUSG00000063558 - Aox1","ENSMUSG00000063558","Aox1","11761"
"ENSMUSG00000064294 - Aox3","ENSMUSG00000064294","Aox3","71724"
"ENSMUSG00000038242 - Aox4","ENSMUSG00000038242","Aox4","71872"
"ENSMUSG00000079554 - Aox2","ENSMUSG00000079554","Aox2","213043"
"ENSMUSG00000051223 - Bzw1","ENSMUSG00000051223","Bzw1","66882"
"ENSMUSG00000026034 - Clk1","ENSMUSG00000026034","Clk1","12747"
"ENSMUSG00000026035 - Ppil3","ENSMUSG00000026035","Ppil3","70225"
"ENSMUSG00000026036 - Nif3l1","ENSMUSG00000026036","Nif3l1","65102"
"ENSMUSG00000026037 - Orc2","ENSMUSG00000026037","Orc2","18393"
"ENSMUSG00000038174 - Hycc2","ENSMUSG00000038174","Hycc2","213056"
"ENSMUSG00000026032 - Ndufb3","ENSMUSG00000026032","Ndufb3","66495"
"ENSMUSG00000047528 - Flacc1","ENSMUSG00000047528","Flacc1","108812"
"ENSMUSG00000026031 - Cflar","ENSMUSG00000026031","Cflar","12633"
"ENSMUSG00000026029 - Casp8","ENSMUSG00000026029","Casp8","12370"
"ENSMUSG00000026028 - Trak2","ENSMUSG00000026028","Trak2","70827"
"ENSMUSG00000026027 - Stradb","ENSMUSG00000026027","Stradb","227154"
"ENSMUSG00000038079 - Tmem237","ENSMUSG00000038079","Tmem237","381259"
"ENSMUSG00000079550 - Mpp4","ENSMUSG00000079550","Mpp4","227157"
"ENSMUSG00000026024 - Als2","ENSMUSG00000026024","Als2","74018"
"ENSMUSG00000026023 - Cdk15","ENSMUSG00000026023","Cdk15","271697"
"ENSMUSG00000041075 - Fzd7","ENSMUSG00000041075","Fzd7","14369"
"ENSMUSG00000047361 - Gm973","ENSMUSG00000047361","Gm973","381260"
"ENSMUSG00000026021 - Sumo1","ENSMUSG00000026021","Sumo1","22218"
"ENSMUSG00000026020 - Nop58","ENSMUSG00000026020","Nop58","55989"
"ENSMUSG00000089512 - Gm26287","ENSMUSG00000089512","Gm26287","115487683"
"ENSMUSG00000067336 - Bmpr2","ENSMUSG00000067336","Bmpr2","12168"
"ENSMUSG00000041040 - Fam117b","ENSMUSG00000041040","Fam117b","72750"
"ENSMUSG00000026018 - Ica1l","ENSMUSG00000026018","Ica1l","70375"
"ENSMUSG00000026019 - Wdr12","ENSMUSG00000026019","Wdr12","57750"
"ENSMUSG00000026017 - Carf","ENSMUSG00000026017","Carf","241066"
"ENSMUSG00000073664 - Nbeal1","ENSMUSG00000073664","Nbeal1","269198"
"ENSMUSG00000049439 - Cyp20a1","ENSMUSG00000049439","Cyp20a1","77951"
"ENSMUSG00000026782 - Abi2","ENSMUSG00000026782","Abi2","329165"
"ENSMUSG00000026014 - Raph1","ENSMUSG00000026014","Raph1","77300"
"ENSMUSG00000026012 - Cd28","ENSMUSG00000026012","Cd28","12487"
"ENSMUSG00000026011 - Ctla4","ENSMUSG00000026011","Ctla4","12477"
"ENSMUSG00000081382 - Rpl18-ps1","ENSMUSG00000081382","Rpl18-ps1","667100"
"ENSMUSG00000026009 - Icos","ENSMUSG00000026009","Icos","54167"
"ENSMUSG00000052062 - Pard3b","ENSMUSG00000052062","Pard3b","72823"
"ENSMUSG00000084333 - Gm11599","ENSMUSG00000084333","Gm11599","108167598"
"ENSMUSG00000025969 - Nrp2","ENSMUSG00000025969","Nrp2","18187"
"ENSMUSG00000040865 - Ino80d","ENSMUSG00000040865","Ino80d","227195"
"ENSMUSG00000084799 - Ino80dos","ENSMUSG00000084799","Ino80dos","100380944"
"ENSMUSG00000025968 - Ndufs1","ENSMUSG00000025968","Ndufs1","227197"
"ENSMUSG00000025967 - Eef1b2","ENSMUSG00000025967","Eef1b2","55949"
"ENSMUSG00000064612 - Gm26457","ENSMUSG00000064612","Gm26457","115487641"
"ENSMUSG00000064602 - Snora41","ENSMUSG00000064602","Snora41","100217464"
"ENSMUSG00000046856 - Cmklr2","ENSMUSG00000046856","Cmklr2","241070"
"ENSMUSG00000025964 - Adam23","ENSMUSG00000025964","Adam23","23792"
"ENSMUSG00000025963 - Mdh1b","ENSMUSG00000025963","Mdh1b","76668"
"ENSMUSG00000025962 - Fastkd2","ENSMUSG00000025962","Fastkd2","75619"
"ENSMUSG00000025961 - 4933402D24Rik","ENSMUSG00000025961","4933402D24Rik","74426"
"ENSMUSG00000080817 - Gm13751","ENSMUSG00000080817","Gm13751","100416203"
"ENSMUSG00000082373 - Gm13754","ENSMUSG00000082373","Gm13754","102637534"
"ENSMUSG00000044689 - Gm13749","ENSMUSG00000044689","Gm13749","433315"
"ENSMUSG00000025959 - Klf7","ENSMUSG00000025959","Klf7","93691"
"ENSMUSG00000025958 - Creb1","ENSMUSG00000025958","Creb1","12912"
"ENSMUSG00000025956 - Mettl21a","ENSMUSG00000025956","Mettl21a","67099"
"ENSMUSG00000087213 - 2810408I11Rik","ENSMUSG00000087213","2810408I11Rik","69941"
"ENSMUSG00000070871 - Ccnyl1","ENSMUSG00000070871","Ccnyl1","227210"
"ENSMUSG00000045005 - Fzd5","ENSMUSG00000045005","Fzd5","14367"
"ENSMUSG00000051344 - Plekhm3","ENSMUSG00000051344","Plekhm3","241075"
"ENSMUSG00000084416 - Rpl10a-ps1","ENSMUSG00000084416","Rpl10a-ps1","100043141"
"ENSMUSG00000044816 - D630023F18Rik","ENSMUSG00000044816","D630023F18Rik","98303"
"ENSMUSG00000025950 - Idh1","ENSMUSG00000025950","Idh1","15926"
"ENSMUSG00000025949 - Pikfyve","ENSMUSG00000025949","Pikfyve","18711"
"ENSMUSG00000025946 - Pth2r","ENSMUSG00000025946","Pth2r","213527"
"ENSMUSG00000015222 - Map2","ENSMUSG00000015222","Map2","17756"
"ENSMUSG00000055567 - Unc80","ENSMUSG00000055567","Unc80","329178"
"ENSMUSG00000026005 - Rpe","ENSMUSG00000026005","Rpe","66646"
